Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Martsipan,427,73.1,13.5,2.80,5.80,6.76,60.3
Mascarpone,398,3.62,41.4,0.010,2.68,51.7,3.61
Matcha pulber,250,40.1,5.30,38.5,29.6,17.6,1.50
Melon,26.7,6.20,0.100,0.700,0.600,92.5,5.50
Mereahven,128,0,3.61,0,23.8,71.2,0
Merevaik,240,5.10,18.0,0,14.4,60.1,5.10
Meriforell,143,0,3.63,0,27.5,67.3,0
Mesi,325,80.8,0,0,0.500,18.5,80.8
Metskitseliha,127,0,1.92,0,27.5,69.2,0
Metsmaasikad,54.3,12.4,0.900,2.90,0.600,85.7,9.50
Metssealiha,146,0,3.53,0,28.6,66.4,0
Mineraalvesi,0,0,0,0,0,99.6,0
Mintai,91.0,0,0.886,0,20.8,77.2,0
Misopasta,196,26.5,6.00,5.40,11.7,43.0,0
Mitmeviljahelbed,364,70.5,6.80,9.50,10.00,10.5,5.00
Mitmeviljajahusegu,363,70.2,5.00,5.50,12.1,11.8,2.19
Mojito,66.9,3.38,0.138,0.924,0.351,88.5,2.38
Mooniseemned,518,24.7,42.2,20.5,20.2,6.10,1.40
Mooruspuumarjad,351,83.8,2.50,8.92,2.76,7.89,73.9
Moos,168,42.3,0,1.40,0.300,57.1,40.6
Morss,52.7,13.1,0.025,0.025,0.025,86.7,13.0
Mozzarella juust,258,0,20.4,0,18.6,57.7,0
Muffinipulber,377,78.6,3.60,2.00,8.60,6.61,43.1
Mugulsibul,29.6,6.68,0.200,1.88,1.20,91.4,4.80
Muna,144,0.300,10.3,0,12.5,76.0,0.300
Munanuudlid,145,30.5,0.798,1.56,4.79,63.5,0.678
Mungoa idud,25.1,3.01,0.300,1.20,3.20,93.1,1.000
Munguba,312,59.4,1.30,15.8,23.6,12.5,2.00
Murakad,53.9,14.1,0.500,6.30,1.40,82.8,7.80
Murakamoos,212,54.2,0,2.25,0,45.3,50.0
Murelid,58.4,14.6,0.300,1.60,0.810,83.9,10.4
Murulauk,25.4,3.80,0.400,2.10,2.70,92.3,1.70
Müsli,389,77.2,5.90,6.10,9.80,4.90,23.7
Müslibatoon,397,68.0,12.9,7.40,5.90,11.2,37.2
Must kohv,1.86,0.300,0.020,0,0.120,99.5,0
Must küüslauk,202,43.7,0.200,8.92,8.17,44.6,3.56
Must pipar,278,64.2,3.30,26.5,11.0,17.2,0
Mustad sõstrad,58.4,15.5,0.400,5.80,1.10,82.1,8.50
Mustasõstranektar,38.6,9.86,0.100,1.45,0.275,89.5,8.11
Mustikad,59.0,13.5,0.800,3.30,1.10,84.3,8.40
Mustikamoos,206,52.2,0,1.20,0,47.7,50.0
Mustikanektar,39.3,10.5,0,1.25,0,89.4,5.90
Mustjuur,69.1,19.8,0.444,8.11,0.556,78.1,7.33
Naeris,27.3,6.10,0.300,1.90,1.000,91.9,3.90
Näkileib,387,71.0,9.00,9.20,10.00,8.40,1.60
Nektariin,42.4,10.1,0.100,1.40,1.20,88.1,8.20
Neljaviljahelbed,345,77.2,2.50,12.4,9.30,9.37,1.66
Nelk,243,53.3,8.41,34.5,5.86,26.5,2.31
Nisuhelbed,301,64.4,2.40,9.90,10.3,21.4,0.700
Nisuidud,361,45.4,10.00,14.0,29.4,10.8,16.4
Nisuiduõli,900,0,100.0,0,0,0,0
Nisujahu,348,74.6,1.30,4.70,11.9,11.7,1.30
Nisukliid,277,62.9,4.50,38.0,15.2,11.9,1.30
Nisuoras,208,42.2,1.27,1.10,7.49,48.1,0
Nisutärklis,349,86.0,0.500,0,0.200,13.1,0
Nõges,43.3,5.40,0.700,4.10,5.90,84.7,1.30
Nuikapsas,24.2,6.00,0.200,1.80,0.500,92.3,3.90
Nutella,540,60.9,30.9,3.40,6.30,0.355,56.3
Oad,147,30.6,0.350,9.77,10.3,57.0,1.27
Odrahelbed,327,73.6,2.00,9.10,8.20,14.7,1.000
Odrajahu,315,66.5,3.00,7.60,9.20,19.9,0.900
Odrakruubid,319,70.8,2.00,7.60,8.30,17.7,1.000
Odralinnased,303,71.1,1.60,14.3,8.30,17.3,9.80
Okra,27.8,6.90,0.200,5.00,2.10,89.9,1.90
Õli,900,0,100.0,0,0,0,0
Oliivid,130,3.70,13.1,2.60,0.630,78.8,0
Õlu,35.0,2.40,0,0,0.300,93.6,2.20
Õun,48.3,13.5,0,2.60,0,86.2,10.5
Õunaäädikas,2.40,0.600,0,0,0,99.2,0.600
Õunamahl,41.3,10.3,0,0,0.250,89.2,9.70
Õunamoos,223,55.9,0.200,1.10,0.100,43.6,54.4
Päevalilleõli,900,0,100.0,0,0,0,0
"Pähklid, segu",650,20.1,58.0,7.77,15.8,3.82,4.24
Pähklivõie,619,22.7,50.0,5.40,22.3,1.78,0
Palmiõli,900,0,100.0,0,0,0,0
Palsamiäädikas,70.0,17.0,0,0,0.500,82.5,15.0
Palsamikreem,210,50.3,0,0.300,1.000,47.8,45.0
